"","Code","Occupation"
"1",11,"Management"
"2",13,"Business and Financial"
"3",15,"Computer and Mathematical"
"4",17,"Architecture and Engineering"
"5",19,"Life Physical and Social Science"
"6",21,"Community and Social Service"
"7",23,"Legal"
"8",25,"Educational Instruction and Library"
"9",27,"Arts Design Entertainment Sports and Media"
"10",29,"Healthcare Practitioners and Technical"
"11",31,"Healthcare Support"
"12",33,"Protective Service"
"13",35,"Food Prep and Serving"
"14",37,"Building and Grounds Cleaning and Maintenance"
"15",39,"Personal Care and Service"
"16",41,"Sales and Related Occupations"
"17",43,"Office and Admin Support"
"18",45,"Farming, Fishing, and Forestry"
"19",47,"Construction and Extraction"
"20",49,"Installation, Maintenance, and Repair"
"21",51,"Production"
"22",53,"Transportation and Material Moving"
"23",55,"Military Specific"
