UnitID,Institution Name,TRIBAL (HD2019)
180203,Aaniiih Nakoda College,1
380359,Bay Mills Community College,1
180054,Blackfeet Community College,1
200208,Cankdeska Cikana Community College,1
180160,Chief Dull Knife College,1
413617,College of Menominee Nation,1
480967,College of the Muscogee Nation,1
105297,Dine College,1
380368,Fond du Lac Tribal and Community College,1
180212,Fort Peck Community College,1
155140,Haskell Indian Nations University,1
434584,Ilisagvik College,1
187745,Institute of American Indian and Alaska Native Culture and Arts Development,1
461315,Keweenaw Bay Ojibwa Community College,1
260372,Lac Courte Oreilles Ojibwe College,1
413626,Leech Lake Tribal College,1
180328,Little Big Horn College,1
434016,Little Priest Tribal College,1
187596,Navajo Technical University,1
181419,Nebraska Indian Community College,1
380377,Northwest Indian College,1
200086,Nueta Hidatsa Sahnish College,1
219277,Oglala Lakota College,1
441070,Saginaw Chippewa Tribal College,1
180647,Salish Kootenai College,1
219374,Sinte Gleska University,1
219408,Sisseton Wahpeton College,1
200466,Sitting Bull College,1
188216,Southwestern Indian Polytechnic Institute,1
366340,Stone Child College,1
442781,Tohono O'Odham Community College,1
200527,Turtle Mountain Community College,1
200554,United Tribes Technical College,1
434751,White Earth Tribal and Community College,1
