GEO_ID,NAME,P001001
id,Geographic Area Name,Total
0500000US51001,"Accomack County, Virginia",33164
0500000US51003,"Albemarle County, Virginia",98970
0500000US51510,"Alexandria city, Virginia",139966
0500000US51005,"Alleghany County, Virginia",16250
0500000US51007,"Amelia County, Virginia",12690
0500000US51009,"Amherst County, Virginia",32353
0500000US51011,"Appomattox County, Virginia",14973
0500000US51013,"Arlington County, Virginia",207627
0500000US51015,"Augusta County, Virginia",73750
0500000US51017,"Bath County, Virginia",4731
0500000US51515,"Bedford city, Virginia",6222
0500000US51019,"Bedford County, Virginia",68676
0500000US51021,"Bland County, Virginia",6824
0500000US51023,"Botetourt County, Virginia",33148
0500000US51520,"Bristol city, Virginia",17835
0500000US51025,"Brunswick County, Virginia",17434
0500000US51027,"Buchanan County, Virginia",24098
0500000US51029,"Buckingham County, Virginia",17146
0500000US51530,"Buena Vista city, Virginia",6650
0500000US51031,"Campbell County, Virginia",54842
0500000US51033,"Caroline County, Virginia",28545
0500000US51035,"Carroll County, Virginia",30042
0500000US51036,"Charles City County, Virginia",7256
0500000US51037,"Charlotte County, Virginia",12586
0500000US51540,"Charlottesville city, Virginia",43475
0500000US51550,"Chesapeake city, Virginia",222209
0500000US51041,"Chesterfield County, Virginia",316236
0500000US51043,"Clarke County, Virginia",14034
0500000US51570,"Colonial Heights city, Virginia",17411
0500000US51580,"Covington city, Virginia",5961
0500000US51045,"Craig County, Virginia",5190
0500000US51047,"Culpeper County, Virginia",46689
0500000US51049,"Cumberland County, Virginia",10052
0500000US51590,"Danville city, Virginia",43055
0500000US51051,"Dickenson County, Virginia",15903
0500000US51053,"Dinwiddie County, Virginia",28001
0500000US51595,"Emporia city, Virginia",5927
0500000US51057,"Essex County, Virginia",11151
0500000US51600,"Fairfax city, Virginia",22565
0500000US51059,"Fairfax County, Virginia",1081726
0500000US51610,"Falls Church city, Virginia",12332
0500000US51061,"Fauquier County, Virginia",65203
0500000US51063,"Floyd County, Virginia",15279
0500000US51065,"Fluvanna County, Virginia",25691
0500000US51620,"Franklin city, Virginia",8582
0500000US51067,"Franklin County, Virginia",56159
0500000US51069,"Frederick County, Virginia",78305
0500000US51630,"Fredericksburg city, Virginia",24286
0500000US51640,"Galax city, Virginia",7042
0500000US51071,"Giles County, Virginia",17286
0500000US51073,"Gloucester County, Virginia",36858
0500000US51075,"Goochland County, Virginia",21717
0500000US51077,"Grayson County, Virginia",15533
0500000US51079,"Greene County, Virginia",18403
0500000US51081,"Greensville County, Virginia",12243
0500000US51083,"Halifax County, Virginia",36241
0500000US51650,"Hampton city, Virginia",137436
0500000US51085,"Hanover County, Virginia",99863
0500000US51660,"Harrisonburg city, Virginia",48914
0500000US51087,"Henrico County, Virginia",306935
0500000US51089,"Henry County, Virginia",54151
0500000US51091,"Highland County, Virginia",2321
0500000US51670,"Hopewell city, Virginia",22591
0500000US51093,"Isle of Wight County, Virginia",35270
0500000US51095,"James City County, Virginia",67009
0500000US51097,"King and Queen County, Virginia",6945
0500000US51099,"King George County, Virginia",23584
0500000US51101,"King William County, Virginia",15935
0500000US51103,"Lancaster County, Virginia",11391
0500000US51105,"Lee County, Virginia",25587
0500000US51678,"Lexington city, Virginia",7042
0500000US51107,"Loudoun County, Virginia",312311
0500000US51109,"Louisa County, Virginia",33153
0500000US51111,"Lunenburg County, Virginia",12914
0500000US51680,"Lynchburg city, Virginia",75568
0500000US51113,"Madison County, Virginia",13308
0500000US51683,"Manassas city, Virginia",37821
0500000US51685,"Manassas Park city, Virginia",14273
0500000US51690,"Martinsville city, Virginia",13821
0500000US51115,"Mathews County, Virginia",8978
0500000US51117,"Mecklenburg County, Virginia",32727
0500000US51119,"Middlesex County, Virginia",10959
0500000US51121,"Montgomery County, Virginia",94392
0500000US51125,"Nelson County, Virginia",15020
0500000US51127,"New Kent County, Virginia",18429
0500000US51700,"Newport News city, Virginia",180719
0500000US51710,"Norfolk city, Virginia",242803
0500000US51131,"Northampton County, Virginia",12389
0500000US51133,"Northumberland County, Virginia",12330
0500000US51720,"Norton city, Virginia",3958
0500000US51135,"Nottoway County, Virginia",15853
0500000US51137,"Orange County, Virginia",33481
0500000US51139,"Page County, Virginia",24042
0500000US51141,"Patrick County, Virginia",18490
0500000US51730,"Petersburg city, Virginia",32420
0500000US51143,"Pittsylvania County, Virginia",63506
0500000US51735,"Poquoson city, Virginia",12150
0500000US51740,"Portsmouth city, Virginia",95535
0500000US51145,"Powhatan County, Virginia",28046
0500000US51147,"Prince Edward County, Virginia",23368
0500000US51149,"Prince George County, Virginia",35725
0500000US51153,"Prince William County, Virginia",402002
0500000US51155,"Pulaski County, Virginia",34872
0500000US51750,"Radford city, Virginia",16408
0500000US51157,"Rappahannock County, Virginia",7373
0500000US51760,"Richmond city, Virginia",204214
0500000US51159,"Richmond County, Virginia",9254
0500000US51770,"Roanoke city, Virginia",97032
0500000US51161,"Roanoke County, Virginia",92376
0500000US51163,"Rockbridge County, Virginia",22307
0500000US51165,"Rockingham County, Virginia",76314
0500000US51167,"Russell County, Virginia",28897
0500000US51775,"Salem city, Virginia",24802
0500000US51169,"Scott County, Virginia",23177
0500000US51171,"Shenandoah County, Virginia",41993
0500000US51173,"Smyth County, Virginia",32208
0500000US51175,"Southampton County, Virginia",18570
0500000US51177,"Spotsylvania County, Virginia",122397
0500000US51179,"Stafford County, Virginia",128961
0500000US51790,"Staunton city, Virginia",23746
0500000US51800,"Suffolk city, Virginia",84585
0500000US51181,"Surry County, Virginia",7058
0500000US51183,"Sussex County, Virginia",12087
0500000US51185,"Tazewell County, Virginia",45078
0500000US51810,"Virginia Beach city, Virginia",437994
0500000US51187,"Warren County, Virginia",37575
0500000US51191,"Washington County, Virginia",54876
0500000US51820,"Waynesboro city, Virginia",21006
0500000US51193,"Westmoreland County, Virginia",17454
0500000US51830,"Williamsburg city, Virginia",14068
0500000US51840,"Winchester city, Virginia",26203
0500000US51195,"Wise County, Virginia",41452
0500000US51197,"Wythe County, Virginia",29235
0500000US51199,"York County, Virginia",65464
