source,target,weight
mother,father,0.378548794408732
negrowoman,whitewoman,0.320978770840952
whitewoman,negrowoman,0.320978770840952
wife,child,0.296712437985729
marri,wife,0.284372974411598
wife,marri,0.284372974411598
whitewoman,negroman,0.274387634619391
sister,mother,0.25879028626171
mother,sister,0.25879028626171
sister,mich,0.256530198545155
negrowoman,negroman,0.226512837078906
whitewoman,cry,0.195729465951992
girl,babi,0.195729465951992
sister,brother,0.195573219971142
negrowoman,armyexchang,0.191263595546898
negrowoman,milk,0.191263595546898
wife,babi,0.185843999237085
wife,home,0.185344425523119
sister,flyer,0.181314409807458
mother,far,0.180173896348666
wife,mother,0.178565167847269
mother,wife,0.178565167847269
mother,allot,0.17027861257236
wife,kid,0.169000412369664
mother,daughter,0.166080061918227
negrowoman,kitchen,0.165222968222221
marri,famili,0.164748164263175
sister,support,0.160297092356152
girl,marri,0.158039786941005
marri,girl,0.158039786941005
negrowoman,associ,0.154014009641196
woman,molest,0.152787167664854
woman,65,0.152787167664854
wife,worri,0.152508858563483
sister,gather,0.150165889132836
girl,tuskege,0.150165889132836
negrowoman,everydai,0.147407580596909
negrowoman,sever,0.147407580596909
negrowoman,attack,0.147407580596909
negrowoman,doe,0.147407580596909
negrowoman,shore,0.147407580596909
woman,hire,0.145886112325203
girl,join,0.142832753692711
sister,dose,0.139655963536628
sister,tend,0.139655963536628
sister,custer,0.139655963536628
sister,clock,0.139655963536628
woman,iron,0.138804139695884
woman,immedi,0.138804139695884
girl,board,0.13642173165362
mother,support,0.136378634822277
mother,bitch,0.135564007028856
marri,huachuca,0.134575713506971
marri,babi,0.134575713506971
negrowoman,hesit,0.134224104610438
mother,son,0.133531002999527
negrowoman,american,0.13286407731473
mother,home,0.131939885924751
woman,farmer,0.127886420503679
sister,upset,0.12712732488518
woman,ten,0.124719646064251
negrowoman,hors,0.123952514172403
negrowoman,attain,0.123952514172403
negrowoman,qualiti,0.123952514172403
marri,36,0.123951776567008
whitewoman,bless,0.121132731050782
whitewoman,woman,0.120602290996301
woman,whitewoman,0.120602290996301
mother,luck,0.120316777894446
