"year","bgt","jolts","per_diff","region"
2010,11682173,35676000,-67.254812759278,"National"
2011,14180786,41156000,-65.5438186412674,"National"
2012,14084668,46071000,-69.4283432093942,"National"
2013,18063975,48786000,-62.9730352970114,"National"
2014,19018233,57247000,-66.7786381819135,"National"
2015,20818078,66800000,-68.8352125748503,"National"
2016,23489737,70282000,-66.5778762698842,"National"
2017,22249765,73389000,-69.6824251590838,"National"
2018,28756586,85233000,-66.2612063402673,"National"
2019,33437738,85816000,-61.0355434883938,"National"
2010,2338088,7176000,-67.4179487179487,"Midwest"
2011,3077476,8961000,-65.6570025666778,"Midwest"
2012,2999686,10177000,-70.5248501523042,"Midwest"
2013,4113172,10758000,-61.7663878044246,"Midwest"
2014,4574148,12614000,-63.7375297288727,"Midwest"
2015,4569421,14904000,-69.3409755770263,"Midwest"
2016,5417836,15490000,-65.0236539703034,"Midwest"
2017,5071706,17038000,-70.23297335368,"Midwest"
2018,6185054,20189000,-69.3642379513597,"Midwest"
2019,6941118,19461000,-64.3331894558348,"Midwest"
2010,2459262,7164000,-65.6719430485762,"Northeast"
2011,2679012,7543000,-64.4834681161342,"Northeast"
2012,2650406,8368000,-68.3268881453155,"Northeast"
2013,3294967,8559000,-61.5028975347587,"Northeast"
2014,3337023,9713000,-65.6437454957274,"Northeast"
2015,3626315,11261000,-67.7975757037563,"Northeast"
2016,4121506,11911000,-65.3974813197884,"Northeast"
2017,4131044,12964000,-68.1344955260722,"Northeast"
2018,4683891,14445000,-67.5743094496365,"Northeast"
2019,5306150,14345000,-63.0104566050889,"Northeast"
2010,3898943,12708000,-69.3189880390305,"South"
2011,4759851,15227000,-68.7407171471728,"South"
2012,4636001,17815000,-73.9769800729722,"South"
2013,6152162,18461000,-66.6748171821678,"South"
2014,6448430,21729000,-70.3233927009987,"South"
2015,7043492,25449000,-72.3231089630241,"South"
2016,7992298,26391000,-69.7158197870486,"South"
2017,7431347,26568000,-72.0289558867811,"South"
2018,9983535,31143000,-67.9429245737405,"South"
2019,11830095,32143000,-63.1954235758952,"South"
2010,2985880,8628000,-65.3931386184516,"West"
2011,3664447,9419000,-61.0951587217327,"West"
2012,3798575,9710000,-60.879763130793,"West"
2013,4503674,11007000,-59.083546833833,"West"
2014,4658632,13189000,-64.6778982485405,"West"
2015,5578850,15185000,-63.2607836680935,"West"
2016,5958097,16490000,-63.8684232868405,"West"
2017,5615668,16820000,-66.6131510107015,"West"
2018,7904106,19454000,-59.3702786059422,"West"
2019,9360375,19866000,-52.8824373301118,"West"
